prob,Log2FC_cutoff,TPR,FPR,TNR,FNR,Precision,Recall,F1,Accuracy
0.13,0.436,0.0963266681644574,0.00113733295422235,0.998862667045778,0.903673331835543,0.990756787983824,0.0963266681644574,0.175582288200665,0.494697540160643
0.5,0.237,0,0,1,1,0,0,0,0.441390562248996
0.15,0.792,0.0775106717591552,0.00021324992891669,0.999786750071083,0.922489328240845,0.997830802603037,0.0775106717591552,0.143847396674832,0.484594628514056
0.25,0.259,0.245506627724107,0.00952516349161217,0.990474836508388,0.754493372275893,0.970255271920089,0.245506627724107,0.391859787529697,0.574328564257028
0.27,0.986,0.199898899123792,0.000924083025305658,0.999075916974694,0.800101100876208,0.996360582306831,0.199898899123792,0.332990269461078,0.552648092369478
0.23,0.757,0.169400134801168,0.000924083025305658,0.999075916974694,0.830599865198832,0.995708154506438,0.169400134801168,0.289540632650122,0.535611194779117
0.28,0.98,0.214951696248034,0.00120841626386125,0.998791583736139,0.785048303751966,0.995577523413111,0.214951696248034,0.353566149297857,0.560931224899598
0.1,0.219,0.0807121995057291,0.0022746659084447,0.997725334091555,0.919287800494271,0.978216473791695,0.0807121995057291,0.149120531313236,0.485473142570281
0.31,0.949,0.261177263536284,0.00163491612169463,0.998365083878305,0.738822736463716,0.995078108281618,0.261177263536284,0.413756284201628,0.586565010040161
0.23,0.149,0.21512019770838,0.00746374751208416,0.992536252487916,0.78487980229162,0.973316391359593,0.21512019770838,0.352362114172685,0.558264307228916
0.01,0.6,0.0032015277465738,0,1,0.996798472253426,1,0.0032015277465738,0.00638262135378758,0.443178965863454
0.21,0.946,0.132273646371602,0.000355416548194484,0.999644583451806,0.867726353628398,0.997881355932203,0.132273646371602,0.233584606228923,0.515122991967871
0.1,0.688,0.0480229161986071,0.000142166619277794,0.999857833380722,0.951977083801393,0.997666277712952,0.0480229161986071,0.0916349606130432,0.468153865461847
0.37,0.506,0.404122669063132,0.0112311629229457,0.988768837077054,0.595877330936868,0.978512171902625,0.404122669063132,0.572007791072068,0.662179969879518
0.38,0.373,0.421534486632218,0.0223201592266136,0.977679840773386,0.578465513367783,0.959841411945261,0.421534486632218,0.585801818678531,0.667011797188755
0.29,0.336,0.299539429341721,0.0129371623542792,0.987062837645721,0.700460570658279,0.966999093381686,0.299539429341721,0.457395257086496,0.603005773092369
0.09,0.048,0.0631880476297461,0.00135058288313904,0.998649417116861,0.936811952370254,0.983391608391609,0.0631880476297461,0.118746041798607,0.47609186746988
0.16,0.619,0.111210963828353,0.000568666477111174,0.999431333522889,0.888789036171647,0.995975855130785,0.111210963828353,0.200080840743735,0.503263052208835
0.31,0.961,0.260222421927657,0.00149274950241683,0.998507250497583,0.739777578072343,0.995487752470993,0.260222421927657,0.412592394692315,0.58609437751004
0.39,0.655,0.423331835542575,0.00966733011088996,0.99033266988911,0.576668164457425,0.98227551153395,0.423331835542575,0.591670918867999,0.673600652610442
0.38,0.51,0.423275668389126,0.0120130793289736,0.987986920671026,0.576724331610874,0.978066190785204,0.423275668389126,0.5908502881336,0.672533885542169
0.37,0.15,0.396034598966524,0.0292863235712255,0.970713676428774,0.603965401033476,0.944794318638617,0.396034598966524,0.55811928602525,0.649692520080321
0.29,0.87,0.246405302179286,0.00135058288313904,0.998649417116861,0.753594697820715,0.995687698592828,0.246405302179286,0.395047276001801,0.57843875502008
0,0.514,0,0,1,1,0,0,0,0.441390562248996
0.11,0.009,0.0794203549764098,0.00163491612169463,0.998365083878305,0.92057964502359,0.983994432846207,0.0794203549764098,0.146977807806247,0.485033885542169
0.19,0.019,0.162772410694226,0.00390958203013932,0.996090417969861,0.837227589305774,0.981374873010498,0.162772410694226,0.279231102760515,0.530591114457831
0.07,0.145,0.0510559424848349,0.00106624964458345,0.998933750355416,0.948944057515165,0.983766233766234,0.0510559424848349,0.0970739000427168,0.469440261044177
0.11,0.305,0.0897551112109638,0.00248791583736139,0.997512084162639,0.910244888789036,0.978567054500919,0.0897551112109638,0.164428666975356,0.49043047188755
0.02,0.826,0.00292069197933049,0,1,0.99707930802067,1,0.00292069197933049,0.00582437275985663,0.443022088353414
0.08,0.502,0.048359919119299,0.000284333238555587,0.999715666761444,0.951640080880701,0.995375722543353,0.048359919119299,0.0922384701912261,0.46827936746988
0.13,0.804,0.0626263760952595,7.10833096388968e-05,0.999928916690361,0.937373623904741,0.99910394265233,0.0626263760952595,0.117864693446089,0.476342871485944
0.12,0.061,0.0891372725230285,0.00248791583736139,0.997512084162639,0.910862727476971,0.978421701602959,0.0891372725230285,0.163389272109544,0.490085341365462
0.19,0.928,0.111716468209391,0.000284333238555587,0.999715666761444,0.888283531790609,0.997992975413949,0.111716468209391,0.200939536293378,0.50367093373494
0.41,0.808,0.446023365535835,0.00653966448677851,0.993460335513222,0.553976634464165,0.988547242624175,0.446023365535835,0.614699849053683,0.68765687751004
0.15,0.079,0.122893731745675,0.00341199886266705,0.996588001137333,0.877106268254325,0.978533094812165,0.122893731745675,0.218363273453094,0.508534136546185
0.15,0.601,0.101381711974837,0.000639749786750071,0.99936025021325,0.898618288025163,0.995038588754135,0.101381711974837,0.184014680395555,0.497740963855422
0.31,0.715,0.278926084026062,0.00298549900483367,0.997014500995166,0.721073915973939,0.991613418530351,0.278926084026062,0.435384885148168,0.595883534136546
0.33,0.514,0.341215457200629,0.00717941427352858,0.992820585726471,0.658784542799371,0.983646373056995,0.341215457200629,0.506672226855713,0.62882781124498
0.4,0.72,0.429903392496068,0.0088854137048621,0.991114586295138,0.570096607503932,0.983931096541972,0.429903392496068,0.598366102489935,0.67761671686747
0.31,0.75,0.274994383284655,0.00305658231447256,0.996943417685527,0.725005616715345,0.991293784166835,0.274994383284655,0.430550059358924,0.593655873493976
0.24,0.096,0.2289934846102,0.00760591413136196,0.992394085868638,0.7710065153898,0.97442638623327,0.2289934846102,0.370838639257777,0.565951305220884
0.35,0.398,0.368456526623231,0.0145009951663349,0.985499004833665,0.631543473376769,0.969840331164991,0.368456526623231,0.534028003907522,0.640813253012048
0.39,0.294,0.426533363289149,0.0336934887688371,0.966306511231163,0.573466636710852,0.941249380267724,0.426533363289149,0.58704390847248,0.664784136546185
0.1,0.617,0.0584138395866098,0.000142166619277794,0.999857833380722,0.94158616041339,0.998080614203455,0.0584138395866098,0.110368247904065,0.473958333333333
0.37,0.974,0.351100876207594,0.00312766562411146,0.996872334375889,0.648899123792406,0.993010325655282,0.351100876207594,0.518776712726669,0.636138303212851
0.08,0.618,0.0429117052347787,0.000142166619277794,0.999857833380722,0.957088294765221,0.997389033942559,0.0429117052347787,0.0822832525578891,0.465298694779117
0.04,0.521,0.0198831723208268,0,1,0.980116827679173,1,0.0198831723208268,0.0389910783125895,0.452497489959839
0.14,0.903,0.0661649067625253,0.000142166619277794,0.999857833380722,0.933835093237475,0.998305084745763,0.0661649067625253,0.124104509060261,0.478288152610442
0.18,0.637,0.122837564592226,0.000710833096388968,0.999289166903611,0.877162435407774,0.995448338643605,0.122837564592226,0.218689065546723,0.509695030120482
0.16,0.864,0.0903729498988991,0.000284333238555587,0.999715666761444,0.909627050101101,0.997520148791073,0.0903729498988991,0.16573106041098,0.491748242971888
0.2,0.585,0.15378566614244,0.00127949957350014,0.9987205004265,0.84621433385756,0.993468795355588,0.15378566614244,0.266342412451362,0.526731927710844
