score_name,group_method,n_samples,n_groups,AS_stat,T_AV_stat,p_value,status,test_name,n_ties,sig,warning,method,n_sim
ov_Sample_1_ssgsea_score,scAB,50865,2,44.7,57.456,9.9644e-25,Success,Anderson-Darling,0,0.76139,FALSE,asymptotic,1
ov_Sample_2_ssgsea_score,scAB,50865,2,187,244.6,1.0325e-102,Success,Anderson-Darling,1,0.76139,FALSE,asymptotic,1
ov_Sample_3_ssgsea_score,scAB,50865,2,27,34.138,5.1936e-15,Success,Anderson-Darling,0,0.76139,FALSE,asymptotic,1
ov_Sample_4_ssgsea_score,scAB,50865,2,64.4,83.239,1.7971e-35,Success,Anderson-Darling,0,0.76139,FALSE,asymptotic,1
ov_Sample_5_ssgsea_score,scAB,50865,2,42.5,54.553,1.6155e-23,Success,Anderson-Darling,0,0.76139,FALSE,asymptotic,1
ov_Sample_6_ssgsea_score,scAB,50865,2,176,229.93,1.3373e-96,Success,Anderson-Darling,0,0.76139,FALSE,asymptotic,1
ov_Sample_7_ssgsea_score,scAB,50865,2,110,143.21,1.8421e-60,Success,Anderson-Darling,0,0.76139,FALSE,asymptotic,1
ov_Sample_8_ssgsea_score,scAB,50865,2,97.1,126.22,2.2069e-53,Success,Anderson-Darling,0,0.76139,FALSE,asymptotic,1
ov_Sample_9_ssgsea_score,scAB,50865,2,51.5,66.363,1.9361e-28,Success,Anderson-Darling,0,0.76139,FALSE,asymptotic,1
ov_Sample_10_ssgsea_score,scAB,50865,2,46.1,59.21,1.8517e-25,Success,Anderson-Darling,0,0.76139,FALSE,asymptotic,1
ov_Sample_1_ssgsea_score,scPP,50865,3,24.9,21.266,4.8243e-13,Success,Anderson-Darling,0,1.07677,FALSE,asymptotic,1
ov_Sample_2_ssgsea_score,scPP,50865,3,149,136.82,3.3042e-85,Success,Anderson-Darling,1,1.07677,FALSE,asymptotic,1
ov_Sample_3_ssgsea_score,scPP,50865,3,26.6,22.809,5.2421e-14,Success,Anderson-Darling,0,1.07677,FALSE,asymptotic,1
ov_Sample_4_ssgsea_score,scPP,50865,3,32,27.903,3.4542e-17,Success,Anderson-Darling,0,1.07677,FALSE,asymptotic,1
ov_Sample_5_ssgsea_score,scPP,50865,3,16.4,13.364,4.1466e-08,Success,Anderson-Darling,0,1.07677,FALSE,asymptotic,1
ov_Sample_6_ssgsea_score,scPP,50865,3,251,231.6,2.1375e-144,Success,Anderson-Darling,0,1.07677,FALSE,asymptotic,1
ov_Sample_7_ssgsea_score,scPP,50865,3,72.7,65.695,8.6587e-41,Success,Anderson-Darling,0,1.07677,FALSE,asymptotic,1
ov_Sample_8_ssgsea_score,scPP,50865,3,52.1,46.539,7.9543e-29,Success,Anderson-Darling,0,1.07677,FALSE,asymptotic,1
ov_Sample_9_ssgsea_score,scPP,50865,3,9.38,6.856,0.00024802,Success,Anderson-Darling,0,1.07677,FALSE,asymptotic,1
ov_Sample_10_ssgsea_score,scPP,50865,3,30,25.98,5.4838e-16,Success,Anderson-Darling,0,1.07677,FALSE,asymptotic,1
ov_Sample_1_ssgsea_score,scPAS,50865,3,1.63,-0.34112,0.54916,Success,Anderson-Darling,0,1.09597,TRUE,asymptotic,1
ov_Sample_2_ssgsea_score,scPAS,50865,3,1.95,-0.041406,0.41052,Success,Anderson-Darling,1,1.09597,TRUE,asymptotic,1
ov_Sample_3_ssgsea_score,scPAS,50865,3,1.2,-0.73398,0.76631,Success,Anderson-Darling,0,1.09597,TRUE,asymptotic,1
ov_Sample_4_ssgsea_score,scPAS,50865,3,3.75,1.5941,0.072936,Success,Anderson-Darling,0,1.09597,TRUE,asymptotic,1
ov_Sample_5_ssgsea_score,scPAS,50865,3,2.15,0.13774,0.34214,Success,Anderson-Darling,0,1.09597,TRUE,asymptotic,1
ov_Sample_6_ssgsea_score,scPAS,50865,3,1.41,-0.53451,0.65323,Success,Anderson-Darling,0,1.09597,TRUE,asymptotic,1
ov_Sample_7_ssgsea_score,scPAS,50865,3,6.65,4.2473,0.0041914,Success,Anderson-Darling,0,1.09597,TRUE,asymptotic,1
ov_Sample_8_ssgsea_score,scPAS,50865,3,2.07,0.066714,0.36796,Success,Anderson-Darling,0,1.09597,TRUE,asymptotic,1
ov_Sample_9_ssgsea_score,scPAS,50865,3,1.38,-0.56726,0.67167,Success,Anderson-Darling,0,1.09597,TRUE,asymptotic,1
ov_Sample_10_ssgsea_score,scPAS,50865,3,1.24,-0.69609,0.74489,Success,Anderson-Darling,0,1.09597,TRUE,asymptotic,1
ov_Sample_1_ssgsea_score,scissor,50865,3,4.55,2.3627,0.031899,Success,Anderson-Darling,0,1.07908,FALSE,asymptotic,1
ov_Sample_2_ssgsea_score,scissor,50865,3,56.6,50.631,2.212e-31,Success,Anderson-Darling,1,1.07908,FALSE,asymptotic,1
ov_Sample_3_ssgsea_score,scissor,50865,3,86.2,78.018,1.7457e-48,Success,Anderson-Darling,0,1.07908,FALSE,asymptotic,1
ov_Sample_4_ssgsea_score,scissor,50865,3,26.6,22.824,5.1312e-14,Success,Anderson-Darling,0,1.07908,FALSE,asymptotic,1
ov_Sample_5_ssgsea_score,scissor,50865,3,11.8,9.1163,1.8364e-05,Success,Anderson-Darling,0,1.07908,FALSE,asymptotic,1
ov_Sample_6_ssgsea_score,scissor,50865,3,140,127.62,1.8418e-79,Success,Anderson-Darling,0,1.07908,FALSE,asymptotic,1
ov_Sample_7_ssgsea_score,scissor,50865,3,62,55.586,1.7802e-34,Success,Anderson-Darling,0,1.07908,FALSE,asymptotic,1
ov_Sample_8_ssgsea_score,scissor,50865,3,9.39,6.8525,0.00024897,Success,Anderson-Darling,0,1.07908,FALSE,asymptotic,1
ov_Sample_9_ssgsea_score,scissor,50865,3,14.2,11.31,7.9568e-07,Success,Anderson-Darling,0,1.07908,FALSE,asymptotic,1
ov_Sample_10_ssgsea_score,scissor,50865,3,40.9,36.067,2.7551e-22,Success,Anderson-Darling,0,1.07908,FALSE,asymptotic,1
ov_Sample_1_ssgsea_score,DEGAS,50865,2,30.2,38.414,8.5792e-17,Success,Anderson-Darling,0,0.7614,FALSE,asymptotic,1
ov_Sample_2_ssgsea_score,DEGAS,50865,2,64.3,83.19,1.8828e-35,Success,Anderson-Darling,1,0.7614,FALSE,asymptotic,1
ov_Sample_3_ssgsea_score,DEGAS,50865,2,28.6,36.275,6.6777e-16,Success,Anderson-Darling,0,0.7614,FALSE,asymptotic,1
ov_Sample_4_ssgsea_score,DEGAS,50865,2,39.2,50.107,1.1506e-21,Success,Anderson-Darling,0,0.7614,FALSE,asymptotic,1
ov_Sample_5_ssgsea_score,DEGAS,50865,2,33,41.976,2.8136e-18,Success,Anderson-Darling,0,0.7614,FALSE,asymptotic,1
ov_Sample_6_ssgsea_score,DEGAS,50865,2,56.6,73.083,3.0645e-31,Success,Anderson-Darling,0,0.7614,FALSE,asymptotic,1
ov_Sample_7_ssgsea_score,DEGAS,50865,2,18.9,23.494,1.4144e-10,Success,Anderson-Darling,0,0.7614,FALSE,asymptotic,1
ov_Sample_8_ssgsea_score,DEGAS,50865,2,22.9,28.797,8.7242e-13,Success,Anderson-Darling,0,0.7614,FALSE,asymptotic,1
ov_Sample_9_ssgsea_score,DEGAS,50865,2,12.6,15.227,3.9419e-07,Success,Anderson-Darling,0,0.7614,FALSE,asymptotic,1
ov_Sample_10_ssgsea_score,DEGAS,50865,2,31.4,39.924,2.0154e-17,Success,Anderson-Darling,0,0.7614,FALSE,asymptotic,1
ov_Sample_1_ssgsea_score,LP_SGL,50865,3,99.8,90.805,1.8061e-56,Success,Anderson-Darling,0,1.07674,FALSE,asymptotic,1
ov_Sample_2_ssgsea_score,LP_SGL,50865,3,111,101.24,5.5069e-63,Success,Anderson-Darling,1,1.07674,FALSE,asymptotic,1
ov_Sample_3_ssgsea_score,LP_SGL,50865,3,102,92.599,1.3684e-57,Success,Anderson-Darling,0,1.07674,FALSE,asymptotic,1
ov_Sample_4_ssgsea_score,LP_SGL,50865,3,83.3,75.468,6.8326e-47,Success,Anderson-Darling,0,1.07674,FALSE,asymptotic,1
ov_Sample_5_ssgsea_score,LP_SGL,50865,3,17.8,14.683,6.2262e-09,Success,Anderson-Darling,0,1.07674,FALSE,asymptotic,1
ov_Sample_6_ssgsea_score,LP_SGL,50865,3,110,100.68,1.2275e-62,Success,Anderson-Darling,0,1.07674,FALSE,asymptotic,1
ov_Sample_7_ssgsea_score,LP_SGL,50865,3,31.6,27.45,6.6241e-17,Success,Anderson-Darling,0,1.07674,FALSE,asymptotic,1
ov_Sample_8_ssgsea_score,LP_SGL,50865,3,128,116.58,1.4525e-72,Success,Anderson-Darling,0,1.07674,FALSE,asymptotic,1
ov_Sample_9_ssgsea_score,LP_SGL,50865,3,105,95.869,1.2432e-59,Success,Anderson-Darling,0,1.07674,FALSE,asymptotic,1
ov_Sample_10_ssgsea_score,LP_SGL,50865,3,51.4,45.875,2.0648e-28,Success,Anderson-Darling,0,1.07674,FALSE,asymptotic,1
